******************ready_q****************************
('id : ', 6474, 'cpu :', 6, 'io : ', 4, 'ratio : ', 4)
('id : ', 6475, 'cpu :', 7, 'io : ', 5, 'ratio : ', 3)
******************wait_q****************************



******************ready_q****************************
('id : ', 6466, 'cpu :', 2.0, 'io : ', 4, 'ratio : ', 1.5)
('id : ', 6469, 'cpu :', 6.0, 'io : ', 3, 'ratio : ', 4.0)
('id : ', 6471, 'cpu :', 6.0, 'io : ', 4, 'ratio : ', 3.8333333333333335)
('id : ', 6468, 'cpu :', 7.0, 'io : ', 5, 'ratio : ', 3.5714285714285716)
('id : ', 6467, 'cpu :', 5.0, 'io : ', 3, 'ratio : ', 4.6)
('id : ', 6470, 'cpu :', 5, 'io : ', 5, 'ratio : ', 4)
('id : ', 6472, 'cpu :', 4, 'io : ', 3, 'ratio : ', 5)
('id : ', 6473, 'cpu :', 4, 'io : ', 3, 'ratio : ', 5)
('id : ', 6474, 'cpu :', 6, 'io : ', 4, 'ratio : ', 4)
('id : ', 6475, 'cpu :', 7, 'io : ', 5, 'ratio : ', 3)
******************wait_q****************************



******************ready_q****************************
('id : ', 6466, 'cpu :', 1.0, 'io : ', 4, 'ratio : ', 2.0)
('id : ', 6469, 'cpu :', 6.0, 'io : ', 3, 'ratio : ', 4.166666666666667)
('id : ', 6471, 'cpu :', 6.0, 'io : ', 4, 'ratio : ', 4.0)
('id : ', 6468, 'cpu :', 7.0, 'io : ', 5, 'ratio : ', 3.7142857142857144)
('id : ', 6467, 'cpu :', 5.0, 'io : ', 3, 'ratio : ', 4.8)
('id : ', 6470, 'cpu :', 5, 'io : ', 5, 'ratio : ', 5)
('id : ', 6472, 'cpu :', 4, 'io : ', 3, 'ratio : ', 6)
('id : ', 6473, 'cpu :', 4, 'io : ', 3, 'ratio : ', 6)
('id : ', 6474, 'cpu :', 6, 'io : ', 4, 'ratio : ', 4)
('id : ', 6475, 'cpu :', 7, 'io : ', 5, 'ratio : ', 3)
******************wait_q****************************



******************ready_q****************************
('id : ', 6475, 'cpu :', 7, 'io : ', 5, 'ratio : ', 3)
('id : ', 6469, 'cpu :', 6.0, 'io : ', 3, 'ratio : ', 4.333333333333333)
('id : ', 6471, 'cpu :', 6.0, 'io : ', 4, 'ratio : ', 4.166666666666667)
('id : ', 6468, 'cpu :', 7.0, 'io : ', 5, 'ratio : ', 3.857142857142857)
('id : ', 6467, 'cpu :', 5.0, 'io : ', 3, 'ratio : ', 5.0)
('id : ', 6470, 'cpu :', 5, 'io : ', 5, 'ratio : ', 5)
('id : ', 6472, 'cpu :', 4, 'io : ', 3, 'ratio : ', 6)
('id : ', 6473, 'cpu :', 4, 'io : ', 3, 'ratio : ', 6)
('id : ', 6474, 'cpu :', 6, 'io : ', 4, 'ratio : ', 4)
******************wait_q****************************
('id : ', 6466, 'cpu :', 0.0, 'io :', 3.0)



******************ready_q****************************
('id : ', 6468, 'cpu :', 7.0, 'io : ', 5, 'ratio : ', 3.857142857142857)
('id : ', 6475, 'cpu :', 6.0, 'io : ', 5, 'ratio : ', 4.5)
('id : ', 6469, 'cpu :', 6.0, 'io : ', 3, 'ratio : ', 4.5)
('id : ', 6471, 'cpu :', 6.0, 'io : ', 4, 'ratio : ', 4.333333333333333)
('id : ', 6467, 'cpu :', 5.0, 'io : ', 3, 'ratio : ', 5.2)
('id : ', 6470, 'cpu :', 5, 'io : ', 5, 'ratio : ', 5)
('id : ', 6472, 'cpu :', 4, 'io : ', 3, 'ratio : ', 6)
('id : ', 6473, 'cpu :', 4, 'io : ', 3, 'ratio : ', 6)
('id : ', 6474, 'cpu :', 6, 'io : ', 4, 'ratio : ', 4)
******************wait_q****************************
('id : ', 6466, 'cpu :', 0.0, 'io :', 2.0)



******************ready_q****************************
('id : ', 6474, 'cpu :', 6, 'io : ', 4, 'ratio : ', 4)
('id : ', 6468, 'cpu :', 6.0, 'io : ', 5, 'ratio : ', 4.5)
('id : ', 6475, 'cpu :', 6.0, 'io : ', 5, 'ratio : ', 4.666666666666667)
('id : ', 6469, 'cpu :', 6.0, 'io : ', 3, 'ratio : ', 4.666666666666667)
('id : ', 6471, 'cpu :', 6.0, 'io : ', 4, 'ratio : ', 4.5)
('id : ', 6467, 'cpu :', 5.0, 'io : ', 3, 'ratio : ', 5.4)
('id : ', 6470, 'cpu :', 5, 'io : ', 5, 'ratio : ', 5)
('id : ', 6472, 'cpu :', 4, 'io : ', 3, 'ratio : ', 6)
('id : ', 6473, 'cpu :', 4, 'io : ', 3, 'ratio : ', 6)
******************wait_q****************************
('id : ', 6466, 'cpu :', 0.0, 'io :', 1.0)



******************ready_q****************************
('id : ', 6468, 'cpu :', 6.0, 'io : ', 5, 'ratio : ', 4.5)
('id : ', 6474, 'cpu :', 5.0, 'io : ', 4, 'ratio : ', 5.6)
('id : ', 6475, 'cpu :', 6.0, 'io : ', 5, 'ratio : ', 4.833333333333333)
('id : ', 6469, 'cpu :', 6.0, 'io : ', 3, 'ratio : ', 4.833333333333333)
('id : ', 6471, 'cpu :', 6.0, 'io : ', 4, 'ratio : ', 4.666666666666667)
('id : ', 6467, 'cpu :', 5.0, 'io : ', 3, 'ratio : ', 5.6)
('id : ', 6470, 'cpu :', 5, 'io : ', 5, 'ratio : ', 5)
('id : ', 6472, 'cpu :', 4, 'io : ', 3, 'ratio : ', 7)
('id : ', 6473, 'cpu :', 4, 'io : ', 3, 'ratio : ', 7)
('id : ', 6466, 'cpu :', 10, 'io : ', 5, 'ratio : ', 1)
******************wait_q****************************



******************ready_q****************************
('id : ', 6466, 'cpu :', 10, 'io : ', 5, 'ratio : ', 1)
('id : ', 6468, 'cpu :', 5.0, 'io : ', 5, 'ratio : ', 5.4)
('id : ', 6474, 'cpu :', 5.0, 'io : ', 4, 'ratio : ', 5.8)
('id : ', 6475, 'cpu :', 6.0, 'io : ', 5, 'ratio : ', 5.0)
('id : ', 6469, 'cpu :', 6.0, 'io : ', 3, 'ratio : ', 5.0)
('id : ', 6471, 'cpu :', 6.0, 'io : ', 4, 'ratio : ', 4.833333333333333)
('id : ', 6467, 'cpu :', 5.0, 'io : ', 3, 'ratio : ', 5.8)
('id : ', 6470, 'cpu :', 5, 'io : ', 5, 'ratio : ', 6)
('id : ', 6472, 'cpu :', 4, 'io : ', 3, 'ratio : ', 7)
('id : ', 6473, 'cpu :', 4, 'io : ', 3, 'ratio : ', 7)
******************wait_q****************************

